ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu93	49		36	5	51	30	27	24		11	33	11
Zotu3272	7	1			4			3		8	8	
Zotu822	56	3	55	1	19	4	28	4		3	8	
Zotu178	34	5	8	5	10	14	53	35	3	19	10	2
Zotu216	7	1			24	2		20			44	62
Zotu237	103	10	127	13	17	4	24	55	3	255	139	9
Zotu5468	1		1		2	1	1				1	2
Zotu8135	12						11			2		
Zotu34384	1											
Zotu24596	10											
Zotu4515	8											
Zotu527	18			28	29	26	2	2	7	9	8	3
Zotu634	12	3	7				49	13		3		
Zotu18374	7											1
Zotu993	10	1		4	2		3	9		1		
Zotu171	26	2	3	2	21	5	44	17	1	14	33	4
Zotu34794	2											
Zotu3887	4				3					4		
Zotu2032	23	10	39	5				3	62			1
Zotu301			44		9	20		446		12	11	4
Zotu1325	7				2		1	1		1		
Zotu4399	7			2	1		2	1			1	
Zotu477	24		1	1	13		11	7		3	9	
Zotu50913	1		4	3	12	4	8	8	2	6	13	3
Zotu10696	2					1				1	1	
Zotu5065	3		1		2					1		
Zotu878	18	1	27	1	18	5	8	5		5	3	1
Zotu2560	16		7				6	1		1		
Zotu344	30	1084	36	1	30	6	292	22	23	3	2	1
Zotu800	1		2									
Zotu5899	6						11					
Zotu1145				2								1
Zotu9343	2									7		
Zotu815	11			1	1			30		18		
Zotu446			4	1		2		1				
Zotu3464	12		1		1					1		
Zotu956	8			1	4	2		2	2	3	6	1
Zotu1438					1		1	1				
Zotu2284	37	1	5				14	2		1		
Zotu3254	1				7		2			2	1	
Zotu3692	1		1			1						
Zotu411	45	2		1	3	2	9	5		104	37	
Zotu10106	2							1				
Zotu1308	10						1	1				1
Zotu1425	3	1	3		3	2	1				4	1
Zotu9020			1				1					
Zotu3469	13		1		1	2	2			2		
Zotu108	44	19	93	211	26	39	296	64	107	71	18	139
Zotu1587	1			1		1		1			1	
Zotu1815	1	1	2		3	22		3			3	
Zotu1372	43	2	3	3		2	12	3	1	10	1	1
Zotu20	61	42	101	325	99	307	151	123	240	636	503	898
Zotu22	101	537	17	67	123	187	48	38	19	47	109	238
Zotu1350	7			2	3	3	5	1		1	2	1
Zotu4740	15						4			3		
Zotu31298	4				2	2	1	3		2	8	
Zotu101	27	40	166		85	10	28	130		1512	73	2
Zotu47	66	109	112	43	506	455	138	236	74	8	288	55
Zotu2202	3						7					
Zotu7388	3						1	14		3		
Zotu18907				2		1						
Zotu117	43	2	74	34	64	40	153	37	16	84	64	10
Zotu4934	6						1				1	
Zotu331	48		14	3	16	1	28	9		30	13	
