ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu9155	1					2					3	1
Zotu28382										1		
Zotu53418	1										1	
Zotu21905										2		
Zotu12510	1				1							
Zotu5115	1											
Zotu5917	1										1	
Zotu45807	1											
Zotu3995												1
Zotu4137							1					1
Zotu39063	1											
Zotu6146	1					1						
Zotu47528	1			1	1		1	1			1	
Zotu24013										3		
Zotu4261						1	1					
Zotu47009								2				
Zotu16585					1							
Zotu34576	1											
Zotu321			3	1	5	8	2	1			6	5
Zotu9739	1										1	1
Zotu12854				1								
Zotu3938			1					3				
Zotu52083					1							
Zotu32015							1		1	1		1
Zotu5723			1									
Zotu17643	1			1	1							
Zotu8535						1				1		
Zotu15833	1										2	1
Zotu3603							1				2	
Zotu10422										1		
Zotu4629	1									1		
Zotu4536	1											
Zotu27588							1					
Zotu4543				1			1					
Zotu224		1			1			62			6	25
Zotu33769	1											
Zotu30715	1											
Zotu1074									1			2
Zotu1762				1	1						3	
Zotu2769							1				1	
Zotu16082	1										1	
Zotu35022								1				
Zotu25396	1											
Zotu18177			1						1			
Zotu11120	1						1			1		
Zotu15823			1									
Zotu2190			2		3			13			4	1
Zotu8490			1	1								
Zotu7558								1				
Zotu14806	1	4			4			8		2	2	1
Zotu37807	1			2								
Zotu7053						5		1				2
Zotu18178					1					1		
Zotu13018								1				
Zotu15668											1	1
Zotu48494	1											
Zotu11528								1		1		
Zotu10722	1											
Zotu3752			1					1				
Zotu42920							1					
Zotu20527					1					1		
Zotu1835				2	2							
Zotu3266			2	1							2	1
Zotu3138			1									
Zotu15641	1											
Zotu19219	1										2	
Zotu8671											2	3
Zotu14535				1								
Zotu15246	1											
Zotu11247					1							
Zotu20057	1							1				
Zotu26999			1									
Zotu4880						2		1		1		
Zotu21052	1											
Zotu19313	1											
Zotu2606				1							1	
Zotu21957	1					2						
Zotu33008	1											
Zotu37819	1				1					1		
Zotu706			1							1	2	1
Zotu25249		1										
Zotu24294	1				1					1		
Zotu6634				1		2						
Zotu29682								1				
Zotu25283					1							
Zotu16851	1											
Zotu3852	1		3					1				
Zotu5965	1										2	
Zotu8975				1	1	1					1	
Zotu5622				1		1		1				
Zotu3076	1										1	
Zotu857	1											
Zotu5757	1						1		1			
Zotu36534	1											
Zotu1370		1				1				1		
Zotu14848	1				1							
Zotu47096								1				
Zotu31451	1											
Zotu6218						1	2					
Zotu7736	1				1	3						
Zotu6525	1		4									
Zotu16635						1						1
Zotu7954												1
Zotu16988				2								
Zotu27046						1						
Zotu1314										1	2	
Zotu5624	1											
Zotu12670			1						1	1		
Zotu6395	1										1	
Zotu5160					1	1					3	
Zotu23088			1					1		4	1	
Zotu37705	1						1					
Zotu11324			1		1							
Zotu3393	1				2	3						1
Zotu5144	1		3								1	
Zotu25493				1								
Zotu33646	1					1		3			2	
Zotu997					1	2					3	
Zotu2466	1				2	1					2	
Zotu8669						2					1	
Zotu1831			1	1	1						1	
Zotu40241											1	
Zotu3432					1				1			
Zotu42933	1											
Zotu3325			1		3		2				1	
Zotu747					1	3						
Zotu12559						6						
Zotu46339	1											
Zotu8513	1	1	1									
Zotu28906											1	
Zotu30271	1											
Zotu3736			1			1				1		
Zotu10116	1											
Zotu8657			1	1	1				1			
Zotu23000					2							
Zotu5042					2							2
Zotu6314												1
Zotu1361								1				
Zotu18486										1		
Zotu7218	1	1					2			5		
Zotu13037							1					
Zotu21858							3					
Zotu23070					1					1		
Zotu6214							1		3			
Zotu267	1	14						1				2
Zotu1279	1											
Zotu18768					10			8			1	
Zotu13898				1	1						2	1
Zotu32895				1								
Zotu40960	1											
Zotu3648				2				9				1
Zotu34369	1											
Zotu40270	1									1		
Zotu13532			1	1	1	1						
Zotu7692				1								
Zotu17072					1	1						
Zotu18111											1	
Zotu26039			1			2						
Zotu12700											3	
Zotu8105				2			2	1				
Zotu21520	1											
Zotu49641	1									1		
Zotu3165											5	
Zotu36553	1										1	
Zotu4578				1	1							
Zotu16160												1
Zotu2633	1		4	1			1				1	2
Zotu1243								1				
Zotu7181							1	1			1	
Zotu8249								1		1		
Zotu53488	1							1				
Zotu4959			1									
Zotu40684	1											
Zotu7290					9	1				1		
Zotu9716										1		
Zotu17838											2	
Zotu8139	1									1		
Zotu19475					1			1				
Zotu13892	1											
Zotu3687									1			1
Zotu15104											1	
Zotu10314							1					
Zotu15607					2	1					1	
Zotu42636		1	1	1						1		2
Zotu8913		1										
Zotu16794	1				1							
Zotu12528		1										
Zotu41169												1
Zotu19821						1	1			1		
Zotu39349					2		1	1				
Zotu5880											3	
Zotu5079	1											
Zotu11235											1	
Zotu47254								2				
Zotu4452					1						2	
Zotu23610	1											
Zotu19779			1									
Zotu55425	1							1				
Zotu54594				1								
Zotu11607										1		
Zotu1786			4		1			2		11		5
Zotu8143					2						2	
Zotu6806							1	3		2		1
Zotu15529	1					3						
Zotu3820					11	2						
Zotu18074			1									
Zotu5718			1	1								
Zotu8159	1		1									
Zotu4345	1			1	6	1				5	1	
Zotu29652	1										1	1
Zotu11018	1							10		4		
Zotu2008				5	1	12			3	1	6	5
Zotu262		3					22	4	23	19		
Zotu10580					1							
Zotu18764				1								
Zotu48216				1								
Zotu38049	1											
Zotu42225					1						2	
Zotu5980				1								
Zotu12197					1							
Zotu8140				2		2		1			2	
Zotu5960					1							
Zotu17792					2							
Zotu3202					1						1	1
Zotu15136	1											
Zotu10377	1											
Zotu2811									1			
Zotu17126	1						1					
Zotu8989	1											
Zotu28017	1											
Zotu20213									1		1	
Zotu17907								1			1	
Zotu8990				1	1						1	
Zotu1885				1			1					
Zotu903								25		1	142	
Zotu594				1	2	3		1				
Zotu12999	1		15	3		31			5			129
Zotu7754												1
Zotu25463	1											
Zotu6865				1	1							1
Zotu32555			1									
Zotu2496						1		1		10		
Zotu32587							1					
Zotu8032			1		1	3						
Zotu1288			1		2	1						2
Zotu28294	1											
Zotu7276				1		1	1				1	
Zotu21489	1											
Zotu36314				1								
Zotu32345	1											
Zotu14585										2		
Zotu15782	1	1			2							
Zotu1331								2				
Zotu12872										1		
Zotu13036	1		1									
Zotu32000					1							
Zotu12322				2	1	7	3	7		2	10	2
Zotu10247												1
Zotu16671	1											
Zotu8125			1								2	1
Zotu37918	1											
Zotu5265								2				
Zotu34093	1											
Zotu1539			1									
Zotu9936										1		
Zotu25648	1										1	
Zotu8179					1						1	
Zotu20924	1				2							
Zotu10935				4	2							
Zotu3705			1		1	1					4	1
Zotu22906	1											
Zotu9211	1					1						
Zotu11727					1							
Zotu4711					1						2	
Zotu5130							2					
Zotu20891	1				4					2		
Zotu5813	1			8		1						
Zotu6385			1									
Zotu8623												1
Zotu6038								1		1	4	
Zotu10467						1						
Zotu20594	1		1		1		1			1		
Zotu17598	1									1		
Zotu8577					2						1	1
Zotu18665	1											
Zotu5611						1						
Zotu1320					1	1						
Zotu10568	1					2						
Zotu20064	1											
Zotu15043									2			
Zotu5251									1			1
Zotu15638	1											
Zotu5453				1		2					1	
Zotu14613					2		1	2				
Zotu9308	1				4							
Zotu427		1221						8				
Zotu609		400			12	1	2	22	1	20	12	48
Zotu8017		68		1					2			
Zotu7325		1						1				
Zotu287		50										
Zotu470		77	50		81		5	7	3			2
Zotu2754		10							12			
Zotu907		39	3		8	1	9	16		1	74	13
Zotu7091		3	3					1		15	1	
Zotu12646		47										
Zotu45772		13	16	8		11	7	7	42			5
Zotu1273		39				1	18	3	1		25	63
Zotu6436		5	9			5		3			1	1
Zotu16932		1		1		1					5	
Zotu476					3							
Zotu1352		29		1			28					
Zotu51635		1										
Zotu497		24		2	1						3	20
Zotu81		5			9	227	1	1	1	3	261	852
Zotu4243		2						1				
Zotu19616								2				
Zotu4319		13				3						1
Zotu2858		4				14						6
Zotu28942				1	2	5	2	3		3	2	2
Zotu2312		3			3		2	5			2	
Zotu11089		2			2					1	1	
Zotu1226		9										
Zotu434		44	15	2		8	9					
Zotu1356		4			2			22			2	
Zotu21041		1										
Zotu9041			1		1	2						
Zotu17903		6		1	5	1		2			3	3
Zotu8502		9					1					
Zotu1722		7				1		1	9		2	53
Zotu37090		1										
Zotu7117		2			4	2					1	
Zotu17758		1			1							
Zotu16345		1			1			1			1	
Zotu35573		9						2				1
Zotu19977		8										
Zotu7992		1										
Zotu2155										6	1	
Zotu15156		1										
Zotu2089		1										
Zotu5740		1			4			1				
Zotu3576		1	8				2			1		
Zotu44847											1	
Zotu5266		3	1			1			5			4
Zotu352		19	16		4	15	10	171		8		
Zotu3296		11	1		1		7	5				
Zotu54385		1						1				
Zotu14408		1							1			
Zotu1979		10				2		2			16	
Zotu11741		5			1		3					
Zotu17020								1				
Zotu6950		10				6					29	
Zotu2121		3	1		1		29					
Zotu1639		1	3		1			2				2
Zotu12298		7	1					2				
Zotu7840					1							
Zotu3685		4										1
Zotu6931		1		1			1					
Zotu2324		4	3		1	8	3	3	1		1	3
Zotu16607		3	2	1				2	1			1
Zotu689		1		1	8	26		120	62	4	1	65
Zotu9182				3								
Zotu17672		1							1			
Zotu437		1		8	1	3	1	1		15	3	
Zotu4909		2	1		1	4	3	4				2
Zotu5310		1										
Zotu10044						2	1		1	1	1	1
Zotu30741		2										
Zotu5510		1										
Zotu1055		1	1	1	2		43	73	2			2
Zotu2973				20	2	34					6	13
Zotu18675		1			4			12			3	
Zotu6313		1									1	
Zotu6943											1	1
Zotu25254		1			2							
Zotu17427		11										
Zotu26850		1		1								
Zotu12501		1						1		1	1	
Zotu4918		1	3						7		1	
Zotu7508		1			1					1		
Zotu5228		1			2						2	
Zotu2213		3	3		1			7		1		
Zotu11175							1	2				
Zotu9543		2	1		1							
Zotu821		6			3	81					5	9
Zotu1590		6		3	24							
Zotu10944						1	1					
Zotu52166		1		3	2		1	5		2		4
Zotu1227			53			1	14	1		4		5
Zotu10751		1									1	
Zotu2565		1										
Zotu1476		7		3						7		
Zotu7630		1		2		1	1				2	3
Zotu5977					5	5	1					
Zotu4027			4	1					2	1	2	7
Zotu5050		1			8			1				
Zotu42901							3	3		3		
Zotu6100			2				3			20	1	
Zotu12577		1						1				
Zotu3487		1										2
Zotu5353		1			4	4		6			1	
Zotu39778		1										
Zotu50279					1					1		
Zotu4449		1			1			1			1	
Zotu2094					5	1			1			
Zotu30899		1			1		1					
Zotu27407						1						
Zotu19829		2	1				1					
Zotu7305		2	2				12	4		1		
Zotu12024		1			3		1	3		2		
Zotu38500		1										
Zotu36443		1	1									
Zotu11170		1										
Zotu11878		1	5		2						1	1
Zotu791		2		29	29		4	23		8	5	
Zotu3577		1			2		1		1	1		
Zotu34327		2										
Zotu14281										2		
Zotu43165			1	3	1	1		1			1	
Zotu9213		4										
Zotu9507		1		1		1						
Zotu15826		1			1					1		3
Zotu15372				1			1	1				
Zotu44093		1				1						
Zotu18447		1		2								
Zotu2311		1	2					1		1	2	
Zotu10030		1	1				1	3				
Zotu8871							1			1		
Zotu4362		3		10	2	4					2	17
Zotu18536		8	2	3	2		10	12	1	12	4	4
Zotu14530		1						1				
Zotu5347		1			8	37				2		
Zotu14450		1			1	3						
Zotu11082				1				1			1	
Zotu2291		2			1	1	1	7		1	8	1
Zotu25446		2										
Zotu54646		1										
Zotu4208		1			5	1					1	
Zotu596		1									66	169
Zotu5791		1										
Zotu9208						1						
Zotu33947		1										
Zotu991		1	2		2	2					2	1
Zotu5206		1	1					2	1		1	9
Zotu7934		1										
Zotu6349		1					1					
Zotu167				109		82		1		2	437	59
Zotu11117		1			2			1		1	1	
Zotu53543		3		2			4		1	2		
Zotu11094					4		1	1			1	
Zotu28714		2										
Zotu12257								1				
Zotu33357		2					2	2				1
Zotu1789		1		7	1			15		2	5	7
Zotu11212		3						1				
Zotu41170		1	2	2	3	1	7	5	2	2	1	1
Zotu2148					1	6	13	6				22
Zotu5382		1	1	1	2	2						1
Zotu5374		1				1						
Zotu28238						1						
Zotu56040			1	1			2	1		2		1
Zotu5933		2									1	4
Zotu7040		1					1	2				
Zotu26726		1										
Zotu22767		1										
Zotu30979				1	1	1		1			1	
Zotu5165		1			2			1		1		1
Zotu54180		1				1						
Zotu2152		1		1	3			4			5	
Zotu15930						1						
Zotu1024		1	1		1	4			3	25		
Zotu10292		4							3			3
Zotu50354				1				1	2		2	1
Zotu7261											2	
Zotu6936		1		2								
Zotu825		2	11	7		2	50	1	4		20	4
Zotu4285											1	1
Zotu23848		2						3		1		
Zotu5567				1								
Zotu3559		1				1		5				
Zotu18985		2										
Zotu35568				4				3				1
Zotu12829		1										
Zotu47330			3						1			
Zotu4757				4	2	3	1	2	3		8	
Zotu580		2				37	1	13			142	3
Zotu2813										30		
Zotu10005			1									
Zotu40292		1										
Zotu16344		1										
Zotu32954		1	3				1					
Zotu11682		2	2									
Zotu3837					1			1		1		
Zotu20927		1										
Zotu20596		2		1	2							
Zotu5150					1	1					2	1
Zotu30716		1										
Zotu4598		1										1
Zotu1782				5		17					6	67
Zotu32030		1										1
Zotu11484		1			8		17	1				
Zotu26888		1										
Zotu14234		1						1		1		
Zotu13812		1					2					
Zotu20928		1					1					
Zotu2165		1			1				1			1
Zotu10006		1		1							1	
Zotu33863									11			1
Zotu11685					4					1		
Zotu20041		1			11			20			1	
Zotu9259		1										
Zotu31368		1										
Zotu12547		1						1				
Zotu9674		1			2		4	6				
Zotu1793					1							
Zotu17368					1							
Zotu5200		1		3		10		5			1	
Zotu6191					3	2					2	
Zotu12867		1				1						
Zotu17864		1						2			1	
Zotu15911		2										
Zotu2145								1				1
Zotu41676		1										
Zotu8927			1				7		1			
Zotu39876		2		2							2	
Zotu7147									1			
Zotu16734		1						1			1	
Zotu10309			4		1							
Zotu12262			1					1				
Zotu50116		2	1									
Zotu40284		1	1	1		15		4	85		1	7
Zotu13607						1	2	3				1
Zotu6579		1										1
Zotu10665		1		1								
Zotu41480		1	1								2	
Zotu12736		1			5		2	1			1	
Zotu33564			1							1		
Zotu2457											2	1
Zotu9272												1
Zotu50702		1										
Zotu9974		1	3	7		1	3	5	23	4		2
Zotu2610		1		1	3		1	2	1	3	1	
Zotu17055		1										
Zotu11310					1							
Zotu16007		1				2						
Zotu25194										1		
Zotu18245		1						8			1	
Zotu13836		1										
Zotu28184		1										
Zotu2373			1	119	1	61		9	2		1	2
Zotu34008		1										
Zotu49459		1										
Zotu1475		1			7	187		1	2		2	4
Zotu13335		1		1			2	1	1	1	2	
Zotu485		1	1		55		3	396				
Zotu1780				2	2	2		3	2	11	2	
Zotu5564								3		3	2	
Zotu38944		1			1							
Zotu1180		1										
Zotu3990			1	1				3				
Zotu11564		1					1		1			
Zotu25092			1					1			1	1
Zotu2740				3	12	4				9	4	1
Zotu14199					1		3			1	2	
Zotu36081											2	
Zotu7514						1						
Zotu423		1			42	7	1	4	2	9	100	320
Zotu6709					1			4				
Zotu23862		1										
Zotu7046		1			2	2		7				
Zotu17786		1	2				1					
Zotu4267		1			8	1						
Zotu8405		1	1									
Zotu25706		1										
Zotu7360					1							
Zotu2573			6								1	1
Zotu10050		1					1					
Zotu8877										1	1	
Zotu5634		1			3							
Zotu7671		2				1						
Zotu4198		1				10			2		2	6
Zotu3000							1	2	2	6	1	2
Zotu5483					2							
Zotu30566											1	
Zotu5535			6		1		1	1	1			
Zotu1766		1				2		2				1
Zotu6901		1		2	1				1		3	
Zotu7974											1	
Zotu15428		1										
Zotu5423		1									1	
Zotu6511		1			4	4				1	4	
Zotu10357		1										
Zotu985				22		109				2	3	10
Zotu29981		1										
Zotu20514		1										
Zotu10512										1	1	
Zotu3062					1		2	3		1	8	
Zotu3358		1		4	7	1		2	1			
Zotu2250					1					38	7	
Zotu5512					2		1			1	2	
Zotu22826		1			4						1	
Zotu18893					2						5	
Zotu1239					306	18		6			5	
Zotu38112		1									1	
Zotu16067					1							
Zotu20152			1									
Zotu21614		1										
Zotu19543		1										
Zotu6206											1	1
Zotu839		1										
Zotu638				8		129				24	5	
Zotu2477												1
Zotu6125			2					1				
Zotu3482		1										
Zotu3492		1			1	4				51		2
Zotu15284		1									1	
Zotu5377		1										
Zotu3874		1	1							1	4	
Zotu4453					1		1	1				2
Zotu10346		1										
Zotu30953		1			6		1					
Zotu22089		1	2									
Zotu251								10		2	29	27
Zotu39244		1										
Zotu2881					2		1				1	
Zotu9804					4		1					
Zotu6815			1		1			1				
Zotu2766			1		7	5	3	7		1	6	3
Zotu18873			31									
Zotu23166		1									1	
Zotu12450		1		1	1		1					
Zotu44835		1			1							
Zotu1400					4			1			2	1
Zotu16185		1										
Zotu2453			1		2			2				
Zotu18437		1										
Zotu3644		2				1	2	3			4	1
Zotu12749		1				10						
Zotu19017					1							
Zotu10281		1										
Zotu9613		1									1	
Zotu50912		1										
Zotu16147		1								1		
Zotu5380				1	6	1		2			7	
Zotu569		2							1101		4	
Zotu35261								1				
Zotu15287		1										
Zotu29986		1									2	
Zotu47507		1										
Zotu42324		1								1		
Zotu5454		1						1		1		
Zotu20898					2							
Zotu9518					1	2				6		
Zotu5902		1										
Zotu8492				1	3							
Zotu43663		1										
Zotu2227		1			1							
Zotu7230						1	1	1	1		1	
Zotu8339										2		
Zotu25384		1										
Zotu39156							1					
Zotu25890		1		6								
Zotu6703		1			1							
Zotu17450						1		13			4	
Zotu9109					6	7		1		4		
Zotu2548			1		1	1					1	
Zotu18420		1										
Zotu36956		1										
Zotu29167		1										
Zotu19915		1									2	
Zotu4732					15			5				
Zotu1266			1									
Zotu3821					2	1					1	
Zotu19533		1										1
Zotu9008					2							
Zotu29042							2	3				
Zotu51195											1	
Zotu3655		1						1			1	1
Zotu11127											1	
Zotu36953		1							1		1	
Zotu53049		1		1		1						
Zotu23150		1						1				
Zotu47908		1										
Zotu18656		1						2				
Zotu10060					1		3					
Zotu8503		1	5									
Zotu16886		1	8								2	
Zotu2112					1	11	2				1	
Zotu3028			1		1			2				1
Zotu2126					1	2					1	
Zotu14810		1										
Zotu12860		1										
Zotu6177								1				
Zotu18593		1	1							1		
Zotu11374		1		1							1	1
Zotu2006		1										1
Zotu9385					1	1	1					
Zotu6397				34		9			2		5	4
Zotu356				1	12		1	9				
Zotu3745								1				
Zotu2859			161			1	1	2		1	5	
Zotu37222			1									
Zotu6755			7									2
Zotu226			97	1		12	1			11		477
Zotu46190			2									
Zotu6289			1	1								
Zotu8245			3			1	1	1		1		
Zotu17723			1									
Zotu3921			87		18		4	37		4		
Zotu17712			9									
Zotu1817			1		2		1			1	1	2
Zotu6258			4			1	1	1				15
Zotu51260			1									
Zotu373			1		54	1		66				
Zotu10108			3		4		9			8		
Zotu28638			1									
Zotu44751			1									
Zotu32448			1		1			1				
Zotu14393			2								1	
Zotu9081			1								1	
Zotu24475			1				5					
Zotu24323			4	1		1						
Zotu35852			2									3
Zotu4866			1									1
Zotu23588			1									
Zotu1124			3		1		1	1	1	1	2	2
Zotu14126						1		1	1		1	1
Zotu10506			2		2	1	1					
Zotu5447			1				1					
Zotu15570			1									
Zotu25858			2									
Zotu26115			2									
Zotu7412			4		15			2				
Zotu1629			2					1	7			29
Zotu13865			1									
Zotu2929			3					1				
Zotu17837			1									
Zotu17049			1									
Zotu3172			6						1		2	
Zotu2042			42	34				2			2	
Zotu11505			2		2							
Zotu33103			4									
Zotu3975			1				1		5			
Zotu7384			5									
Zotu24847			1					2				
Zotu48324			1									
Zotu43180			1									
Zotu14143			2									
Zotu9675			1				1					1
Zotu13206			2									
Zotu29554			1									
Zotu6667			2								2	
Zotu16665			2									
Zotu7712			1			1						
Zotu9360			1									
Zotu20335			1									
Zotu18326			1							1		
Zotu18942			1									
Zotu16230			3									
Zotu28386			1									
Zotu26233			1									
Zotu11594			11					32				
Zotu10776			3									
Zotu49691			1									
Zotu23343			1					1				
Zotu4625			1			2						
Zotu5348			2					1		2		
Zotu3788			1		1							1
Zotu54539			1									
Zotu31281			1									
Zotu12185			1						2			
Zotu35535			1									
Zotu5515			2	1		2		1			2	
Zotu29102			1			1						
Zotu38760			1					1				
Zotu23263			1									
Zotu27629			1									
Zotu12039								1				
Zotu2195			2		14	13	1				3	2
Zotu2357			2		1		12	8	20			2
Zotu16647			3									
Zotu25748			1									
Zotu27420			1								1	
Zotu20360			1									
Zotu6530			3									
Zotu23521			1									
Zotu19777			3				5					
Zotu50141			2					1				
Zotu17679			5				2					
Zotu3020			1									
Zotu14437			1									
Zotu1984			1		1						1	1
Zotu7561			1		1				1			
Zotu4283			3									
Zotu5794			1									
Zotu47721			1									
Zotu16738			4									
Zotu10304			1									
Zotu31322			1					1				
Zotu50362			1									
Zotu16803			1									
Zotu16091			2	1	1					1		
Zotu2382			20			2					2	
Zotu23212			1					1				
Zotu10841			1									
Zotu19596			1									
Zotu2335			1									
Zotu56148			1									
Zotu20031			1				2					
Zotu1104			1									
Zotu11142			2								1	
Zotu3365			1								1	
Zotu42124			1				1					
Zotu6951			1			1	1					
Zotu13456			2									
Zotu6851			1		1							1
Zotu8868			1									
Zotu2622			6	1		6						
Zotu39032			1									
Zotu47720			1									
Zotu11613			2							1	1	
Zotu2590			7	1		1	1	1		1		
Zotu25514						1						
Zotu32847			9									
Zotu44150			1									
Zotu11308			1					1		1	2	
Zotu12667			1									
Zotu5203			1	1								
Zotu51117			1									
Zotu43695			2									
Zotu6832			3		6			5			2	
Zotu14459			3									
Zotu6037			2		1		1	1			1	
Zotu2130			2		1			1			1	1
Zotu53718			1									
Zotu34810			1									
Zotu31694			1									
Zotu22296							1					
Zotu33712			1									
Zotu52428			1		1							
Zotu45794			1									
Zotu9742			1									
Zotu50132			3									
Zotu6312			3									
Zotu6055			1						1			
Zotu47730			1									
Zotu52495			1									
Zotu24848			1									
Zotu27612			1									
Zotu22340			1									
Zotu7104			1									
Zotu15984			1					1		1		
Zotu6516			5				1					
Zotu44089			1									
Zotu7131			1									
Zotu33539			2									
Zotu49251			1									
Zotu44294			1									
Zotu40450			1									
Zotu14778			1									
Zotu6032			2				1	2				
Zotu12892			2									
Zotu5533			1			1						
Zotu23015			1									
Zotu15572			1									
Zotu34890			1									
Zotu16916			1							1		
Zotu37516			1									
Zotu9779			2									
Zotu29077			1									
Zotu30058			1									
Zotu4271			1									
Zotu23899			1									
Zotu17237			1									
Zotu4824			3									
Zotu1229			2		1				1			
Zotu3285			1									
Zotu18301			1									
Zotu35634			2									
Zotu35049			1									
Zotu52984			1									
Zotu12360			6				1				2	
Zotu2016			2		1	1	1	3				
Zotu7635			2				3					
Zotu37345			1									
Zotu7980			3									
Zotu6491			6									
Zotu44296			1							1		
Zotu29189			1			1						
Zotu3560			2			1						
Zotu3539								1				
Zotu9837			34						1			
Zotu7120			1	1								
Zotu24349			3									
Zotu18367			1									
Zotu56278			1									
Zotu22948			1					1				
Zotu35695			1									
Zotu2430			4				1	1				
Zotu43346			1	1								
Zotu3024			3		5	1	1	1			2	1
Zotu34661			2									
Zotu3236			1									
Zotu48910			2									
Zotu13883			1									
Zotu11031			1				2					
Zotu52896			2									
Zotu9696			1									
Zotu41350			1									
Zotu7802			1							1		
Zotu10530			2			2						
Zotu13868			2									
Zotu11821			2									
Zotu32918			1									
Zotu35786			1							1		
Zotu23228			1									
Zotu14414			1									
Zotu20727			1									
Zotu223			1		1	1		1			1	1
Zotu18784			1									
Zotu46428			1									
Zotu2770			1									
Zotu33211			1									1
Zotu10165			2									
Zotu13771			1									
Zotu5256			10									2
Zotu4418			5			3		3	1	1		1
Zotu40317			1									
Zotu17731			3									
Zotu3056			2			1						
Zotu5695			17					13		2	2	
Zotu37675			1									
Zotu9727			4				4				1	
Zotu30829			2									
Zotu10928			1									
Zotu10861			3						3			
Zotu10905			1									
Zotu3277			1			1						
Zotu3443			1						1			
Zotu5560			1						1			
Zotu29722			2									
Zotu4304			1									
Zotu23813			1							1		
Zotu9419			1		2	1				1		
Zotu40775			4			1					1	
Zotu21134			1									
Zotu12421			2									
Zotu3977					2	1					1	
Zotu18718			1									
Zotu1770			1					1			1	
Zotu10586			1								1	
Zotu19733			2									
Zotu53368			1									
Zotu16981			2									
Zotu3664			1					1				
Zotu29272			2									
Zotu12462			1									
Zotu5499			1							1	1	
Zotu49592			1									
Zotu8711			1									
Zotu36050			1									
Zotu54884			1									
Zotu22848			1									
Zotu44092			1									
Zotu15577			4									
Zotu22549			4									
Zotu30651			1									
Zotu2434			4		3		1	1				
Zotu1650			1			3	2				2	2
Zotu42479			1									
Zotu16281			2									
Zotu3229			2									
Zotu40288			1									
Zotu396			1									1
Zotu19585			1									
Zotu11652			2									
Zotu9168			1					2				
Zotu29059			1									
Zotu1000			1		1							1
Zotu3666			1		1		3		3	1	2	1
Zotu23172			1									
Zotu31559			1									
Zotu43386			1									
Zotu11681			2									
Zotu29335			1									
Zotu5338			1	2								
Zotu34956			2									
Zotu12339			1									
Zotu22411			3	1	1						1	
Zotu53061			1									
Zotu16232			1									
Zotu34221			1									
Zotu32971			2									
Zotu9615			1							1		
Zotu19673			1									
Zotu14913			1									
Zotu4545			1								1	
Zotu5774			1									
Zotu1479			1					1		1	4	1
Zotu4299			2									1
Zotu55807			1									
Zotu4777			1		4						3	
Zotu7601			4									
Zotu14891			2					1				
Zotu22772			4									
Zotu6787			1									
Zotu4497			2								8	1
Zotu30666			1									
Zotu18672			1									
Zotu56244			1									
Zotu5576			1		18	5						
Zotu7545			1									
Zotu19942			1									
Zotu46360			1									
Zotu50091			2									
Zotu9317			1					1				
Zotu23338			2									
Zotu6685			1		1	1				2	2	
Zotu1051			2		14	1	3		1		1	1
Zotu1062			1			1			1		1	
Zotu9005			1									
Zotu4648			1		5		1				3	
Zotu35633			1									
Zotu14787			2									
Zotu13394			1									
Zotu1665			1	1								
Zotu2133			1	1				4		1		
Zotu15417			4									3
Zotu40328			1									
Zotu2309			2	1	1	1					2	1
Zotu55797			2						1			
Zotu36228			5									
Zotu34489			1									
Zotu19890				1		1					1	
Zotu14588			2									
Zotu17014			2							1		
Zotu1466			1							1		
Zotu14905			1									
Zotu46427			1									
Zotu26690			2							1		
Zotu28664			1									
Zotu45628			1									
Zotu6995			1			1					2	3
Zotu55793			1									
Zotu28508			1					1				
Zotu55422						1						
Zotu27773			1									
Zotu34813			1									
Zotu10770			1									
Zotu2058			3						1			
Zotu3623						74					6	36
Zotu37506			1									
Zotu3185			1		1					1		
Zotu25657			1									
Zotu14606			1									
Zotu51584			1									
Zotu43297			1									
Zotu9489			1									
Zotu4998			2									
Zotu45009			2									
Zotu2341			1				1					
Zotu18931			1									
Zotu1077			2							1	3	2
Zotu38809			1									
Zotu25524			1				1					
Zotu2850			5	3							1	
Zotu990					6	1		6		4	24	28
Zotu11323			1									
Zotu24581			1									
Zotu8551			3							1		
Zotu10481			1	1								
Zotu6435			1									
Zotu26351			1									
Zotu30594			2									
Zotu50016			1									
Zotu18285			1									
Zotu14735			1									
Zotu31696			2									
Zotu6583			1									
Zotu6843			3									
Zotu12058			1					1				
Zotu2788			6			1	1				6	1
Zotu3910			2		1						1	
Zotu19468			1									
Zotu18670			6					1				
Zotu41315			1									
Zotu3901			2					1				
Zotu27356			2									
Zotu54958			1									
Zotu47226			1									
Zotu43389			1									
Zotu2825					1				1	1	1	
Zotu44887			1									
Zotu3800			2				1	1			1	
Zotu5687			1									
Zotu34214			1									
Zotu14461			3					1			1	
Zotu11367			1									
Zotu33775			1		1							
Zotu28260			4									
Zotu17277			1							1		
Zotu3781			1									
Zotu31621			1									
Zotu6635			6					1		1		
Zotu4797			1									
Zotu12340			3					1				
Zotu7569								1			1	
Zotu7343			4			2						
Zotu3846			1			3	2				2	
Zotu53257			1									
Zotu9703			1									
Zotu15017			1									
Zotu33436			1									
Zotu16798			1									
Zotu10331			1									
Zotu22119			1			1						
Zotu22116			1									
Zotu29194			1									
