"sample"	"group"	"node.number"	"link.number"	"avgK"	"avgCC"	"geodesic.distance"	"number.of.modules"	"Modularity"	"density"
"35"	"1N2017"	"LH"	31	35	2.25806451612903	0.211879160266257	2.03571428571429	14	0.378367346938776	0.0752688172043011
"36"	"1N2018"	"LH"	11	2	0.363636363636364	0	1	9	0.5	0.0363636363636364
"37"	"20N2016"	"LH"	35	44	2.51428571428571	0.187664399092971	2.05487804878049	9	0.544163223140496	0.0739495798319328
"38"	"20N2017"	"LH"	33	37	2.24242424242424	0.203246753246753	1.9051724137931	12	0.487582176771366	0.0700757575757576
"39"	"20N2018"	"LH"	24	16	1.33333333333333	0.0555555555555556	1.825	10	0.6484375	0.0579710144927536
"40"	"23N2016"	"LN"	19	13	1.36842105263158	0	1.87179487179487	10	0.458579881656805	0.0760233918128655
"41"	"23N2017"	"LN"	28	18	1.28571428571429	0.0714285714285714	1.69444444444444	12	0.753086419753086	0.0476190476190476
"42"	"23N2018"	"LN"	19	11	1.15789473684211	0.105263157894737	1.63157894736842	10	0.56198347107438	0.064327485380117
"43"	"3N2016"	"LN"	17	6	0.705882352941177	0	1	11	0.833333333333333	0.0441176470588235
"44"	"3N2017"	"LN"	7	1	0.285714285714286	0	1	6	0	0.0476190476190476
"45"	"3N2018"	"LN"	18	12	1.33333333333333	0.0925925925925926	1.5	8	0.625	0.0784313725490196
"46"	"6N2016"	"LN"	11	3	0.545454545454545	0	1.5	8	-5.55111512312578e-17	0.0545454545454545
"47"	"6N2017"	"LN"	5	0	0	0	NA	5	0	0
"48"	"6N2018"	"LN"	18	9	1	0	1.73684210526316	10	0.685185185185185	0.0588235294117647
