"10N2016" "10N2017" "10N2018" "16N2016" "16N2017" "16N2018" "19N2016" "19N2017" "19N2018" "1N2016" "1N2017" "1N2018" "20N2016" "20N2017" "20N2018" "23N2016" "23N2017" "23N2018" "3N2016" "3N2017" "3N2018" "6N2016" "6N2017" "6N2018" "17soil10N" "17soil16N" "17soil19N" "17soil1N" "17soil20N" "17soil23N" "17soil3N" "17soil6N" "18soil10N" "18soil16N" "18soil19N" "18soil1N" "18soil20N" "18soil23N" "18soil3N" "18soil6N" "16soil10N" "16soil16N" "16soil19N" "16soil1N" "16soil20N" "16soil23N" "16soil3N" "16soil6N"
"Zotu95" 32 0 0 4 331 0 0 1 0 16 212 0 62 1 2 0 1 0 0 0 0 0 2 0 30 145 3 12 3 0 0 2 21 156 0 295 2 0 0 0 7 4 0 9 351 1 0 0
"Zotu267" 46 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu220" 6 0 0 0 2 0 0 8 0 0 0 0 4 6 0 1 3 0 1 0 5 0 0 0 5 1 0 1 0 3 3 3 7 5 3 32 0 1 2 2 0 0 2 0 3 255 0 51
"Zotu678" 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"Zotu2468" 7 0 0 0 3 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 4 0 1 0 0 17
"Zotu626" 10 0 0 0 1 0 6 0 0 1 4 0 2 0 0 0 4 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 2 0 0 0 0 0 1 2 0 7
"Zotu441" 10 0 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 2 0 0 0 14 0 0 3 0 3 0 0 0 0 0 0 0 1 0 1 0 1 1 0 3 4 0 3
"Zotu19" 15 1 3 0 575 0 3 20 4 68 649 1 21 12 0 1 52 0 24 3 0 2 5 13 132 192 17 110 38 62 185 132 77 35 10 187 18 19 188 70 51 42 159 88 62 21 45 315
"Zotu841" 5 0 0 0 22 0 1 2 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 1 0 3 0 0 0 1 1 6 0 0 5 0 0 0 0 0 7 0 0 13
"Zotu7" 10 1 212 46 0 1 170 236 306 0 0 0 558 62 2564 2170 0 494 0 0 2 0 1 0 0 0 15 1 17 2 0 0 0 0 22 0 3 6 0 0 0 0 1 1 1 1 0 0
"Zotu3125" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu242" 11 2 0 0 1 0 10 102 7 1 18 0 93 0 1 1 6 0 0 0 0 0 0 1 1 0 0 0 1 3 1 3 2 0 1 0 11 8 1 2 0 0 6 0 0 1 0 0
"Zotu1967" 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 6 0 1 0 0 0 29 0 0 2 5 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
"Zotu708" 9 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 1 0 0 0 1 0 0 0 0 2 2 0 1 1 0 1 0 0 3 0 3 38
"Zotu1109" 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Zotu128" 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 609 42 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0
"Zotu110" 32 0 0 0 419 14 0 0 0 3 135 0 0 0 0 0 0 0 0 0 1 0 0 30 55 14 9 403 0 0 0 4 3 0 0 0 0 0 0 4 1 22 0 4 0 0 0 0
"Zotu104" 15 0 17 0 0 3 0 0 0 1 2 0 0 0 0 0 3 0 1 0 6 1 1 30 33 8 6 39 4 74 85 181 12 9 2 14 5 67 116 123 8 36 2 2 0 141 40 19
"Zotu551" 1 0 0 0 20 3 0 0 0 0 0 0 0 25 0 1 0 0 0 0 0 0 1 0 0 3 0 0 4 0 0 0 0 100 0 0 7 0 0 1 0 6 0 0 0 2 0 0
"Zotu269" 12 0 0 0 48 0 3 4 0 0 1 0 2 1 0 1 18 0 2 1 0 1 0 0 0 18 3 2 6 3 19 2 1 53 1 25 2 0 11 1 0 0 8 0 50 12 2 9
"Zotu716" 4 0 0 0 4 0 0 3 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 3 2 0 1 1 1 0 2 6 1 0 0 7 1 0 0 0 5 0 3 1 0 2
"Zotu66" 0 1 0 0 0 0 2 0 0 3 37 2 2 1 0 0 0 0 0 0 9 0 0 0 167 22 12 180 1 12 925 5 38 89 0 214 10 5 163 6 106 146 1 61 2 5 5 1
"Zotu106" 3 9 1 0 9 0 2 14 0 0 10 0 0 6 0 0 11 0 2 1 0 0 3 0 22 3 10 16 3 113 100 11 57 6 9 6 3 36 92 23 10 1 20 7 1 4 98 4
"Zotu27" 45 5 39 14 1 3 35 172 97 26 365 80 489 0 5 105 330 0 38 3 2 0 119 609 22 23 30 7 60 70 17 61 19 32 23 19 24 738 11 57 8 3 15 3 37 5 12 5
"Zotu750" 10 0 0 0 1 0 0 0 0 4 0 0 0 0 0 218 2 31 0 0 0 0 0 0 24 9 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Zotu685" 21 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 4 0 0 3 0 0 0 0 1 0 0 0 7 0 0 0
